INCP Education Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Nyngan - Warren,0,0,0,0,0,4,0,10,20,20,20,25,0,0,99,1727.525253,1727,"$1,500-$1,749 ($78,000-$90,999)"
Walgett - Lightning Ridge,0,3,0,0,0,5,8,3,14,16,30,27,9,3,118,1911.016949,1911,"$1,750-$1,999 ($91,000-$103,999)"
Broken Hill,0,0,4,5,10,11,11,17,33,50,65,96,7,9,318,1791.745283,1791,"$1,750-$1,999 ($91,000-$103,999)"
Far West,0,0,0,0,0,0,0,9,7,4,4,5,0,5,34,1856.617647,1856,"$1,750-$1,999 ($91,000-$103,999)"
Coonabarabran,4,3,0,0,3,4,6,19,24,26,37,36,0,4,166,1696.536145,1696,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - East,0,4,3,0,9,13,8,21,35,26,31,72,4,0,226,1607.300885,1607,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - South,0,10,9,10,8,18,18,51,64,81,85,152,7,0,513,1639.376218,1639,"$1,500-$1,749 ($78,000-$90,999)"
Dubbo - West,0,0,0,0,4,0,15,18,28,34,37,61,3,3,203,1758.251232,1758,"$1,750-$1,999 ($91,000-$103,999)"
Dubbo Surrounds,0,0,4,0,5,11,5,12,10,17,26,42,0,0,132,1631.628788,1631,"$1,500-$1,749 ($78,000-$90,999)"
Gilgandra,0,0,0,0,4,9,4,7,15,8,15,28,0,0,90,1599.166667,1599,"$1,500-$1,749 ($78,000-$90,999)"
Narromine,0,0,0,3,5,4,10,15,19,18,23,20,3,0,120,1609.375,1609,"$1,500-$1,749 ($78,000-$90,999)"
Wellington,0,0,0,0,5,7,10,13,19,13,28,38,0,5,138,1721.557971,1721,"$1,500-$1,749 ($78,000-$90,999)"
Branxton - Greta - Pokolbin,0,0,7,7,13,10,18,16,39,27,33,57,0,0,227,1503.964758,1503,"$1,500-$1,749 ($78,000-$90,999)"
Cessnock,0,0,7,3,9,5,17,22,39,35,47,53,0,0,237,1603.481013,1603,"$1,500-$1,749 ($78,000-$90,999)"
Cessnock Surrounds,0,4,5,0,5,10,7,15,20,20,17,31,6,0,140,1543.392857,1543,"$1,500-$1,749 ($78,000-$90,999)"
Dungog,0,0,0,8,5,9,11,19,22,22,23,39,4,0,162,1567.283951,1567,"$1,500-$1,749 ($78,000-$90,999)"
Kurri Kurri - Abermain,0,3,0,3,5,16,25,30,31,22,37,46,0,0,218,1513.188073,1513,"$1,500-$1,749 ($78,000-$90,999)"
Singleton,3,6,3,7,7,16,18,21,30,40,38,43,0,0,232,1478.87931,1478,"$1,250-$1,499 ($65,000-$77,999)"
Singleton Surrounds,0,4,0,0,0,6,3,6,5,4,11,17,0,0,56,1561.607143,1561,"$1,500-$1,749 ($78,000-$90,999)"
Maitland,3,3,0,10,0,7,4,9,17,26,31,46,0,0,156,1625.480769,1625,"$1,500-$1,749 ($78,000-$90,999)"
Maitland - North,4,0,4,5,13,20,14,24,34,39,54,73,9,5,298,1658.64094,1658,"$1,500-$1,749 ($78,000-$90,999)"
East Maitland - Metford,5,7,7,5,11,7,26,37,41,47,70,102,3,0,368,1608.220109,1608,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (North) - Aberglasslyn,6,3,5,9,7,13,20,30,26,35,37,57,0,5,253,1508.399209,1508,"$1,500-$1,749 ($78,000-$90,999)"
Rutherford (South) - Telarah,0,0,3,0,0,0,6,7,15,19,12,15,0,0,77,1609.74026,1609,"$1,500-$1,749 ($78,000-$90,999)"
Tenambit - East Maitland,3,3,4,0,9,14,16,21,28,41,34,59,3,0,235,1558.085106,1558,"$1,500-$1,749 ($78,000-$90,999)"
Thornton - Millers Forest,0,0,4,9,16,12,20,30,42,44,63,80,6,0,326,1629.907975,1629,"$1,500-$1,749 ($78,000-$90,999)"
Anna Bay,0,0,3,0,0,9,12,15,9,11,16,25,0,0,100,1523.75,1523,"$1,500-$1,749 ($78,000-$90,999)"
Lemon Tree Passage - Tanilba Bay,3,0,0,3,0,5,5,7,3,5,9,16,0,0,56,1470.089286,1470,"$1,250-$1,499 ($65,000-$77,999)"
Nelson Bay Peninsula,4,3,0,6,23,22,34,21,37,48,59,87,12,3,359,1604.665738,1604,"$1,500-$1,749 ($78,000-$90,999)"
Raymond Terrace,4,3,3,6,7,11,6,24,18,22,25,31,0,0,160,1439.0625,1439,"$1,250-$1,499 ($65,000-$77,999)"
Seaham - Woodville,4,0,0,0,5,9,4,10,8,22,17,38,6,4,127,1720.866142,1720,"$1,500-$1,749 ($78,000-$90,999)"
Tea Gardens - Hawks Nest,0,0,0,5,0,4,7,4,6,5,7,13,0,0,51,1454.901961,1454,"$1,250-$1,499 ($65,000-$77,999)"
Williamtown - Medowie - Karuah,0,5,0,3,12,14,14,16,29,37,27,51,0,0,208,1506.009615,1506,"$1,500-$1,749 ($78,000-$90,999)"
Muswellbrook,0,0,0,4,3,8,10,24,12,24,27,50,0,0,162,1617.746914,1617,"$1,500-$1,749 ($78,000-$90,999)"
Muswellbrook Surrounds,0,0,0,0,3,3,3,6,10,5,10,18,0,3,61,1712.704918,1712,"$1,500-$1,749 ($78,000-$90,999)"
Scone,3,0,0,0,5,6,6,14,16,15,31,43,0,0,139,1676.978417,1676,"$1,500-$1,749 ($78,000-$90,999)"
Scone Surrounds,0,0,4,5,9,0,17,9,23,6,20,37,0,0,130,1500,1500,"$1,500-$1,749 ($78,000-$90,999)"
Dapto - Avondale,9,8,5,3,10,24,23,40,42,46,59,79,4,0,352,1521.448864,1521,"$1,500-$1,749 ($78,000-$90,999)"
Horsley - Kembla Grange,0,7,9,3,7,19,29,23,39,35,37,70,0,3,281,1496.797153,1496,"$1,250-$1,499 ($65,000-$77,999)"
Port Kembla Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
