"INCP Legal, Social and Welfare Professionals Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Lennox Head - Skennars Head,0,0,0,3,6,8,4,14,18,16,13,26,3,14,125,1765.6,1765,"$1,750-$1,999 ($91,000-$103,999)"
Mullumbimby,0,0,0,3,9,12,11,29,10,16,9,12,0,7,118,1415.254237,1415,"$1,250-$1,499 ($65,000-$77,999)"
Casino,0,0,0,0,0,8,6,9,6,8,7,0,0,0,44,1365.340909,1365,"$1,250-$1,499 ($65,000-$77,999)"
Casino Surrounds,0,0,0,0,0,0,0,0,4,6,6,5,0,0,21,1886.904762,1886,"$1,750-$1,999 ($91,000-$103,999)"
Goonellabah,0,0,5,0,7,10,8,9,25,28,25,20,0,0,137,1534.489051,1534,"$1,500-$1,749 ($78,000-$90,999)"
Kyogle,0,0,3,0,0,3,6,14,4,6,3,0,0,3,42,1372.02381,1372,"$1,250-$1,499 ($65,000-$77,999)"
Lismore,0,0,4,4,12,18,17,35,32,41,29,25,9,0,226,1491.482301,1491,"$1,250-$1,499 ($65,000-$77,999)"
Lismore Surrounds,0,0,7,10,10,13,12,20,18,21,9,32,4,7,163,1437.423313,1437,"$1,250-$1,499 ($65,000-$77,999)"
Kingscliff - Fingal Head,0,0,3,0,10,5,18,18,20,13,10,30,5,15,147,1670.068027,1670,"$1,500-$1,749 ($78,000-$90,999)"
Murwillumbah,0,0,0,0,5,5,4,15,5,6,8,3,0,0,51,1357.352941,1357,"$1,250-$1,499 ($65,000-$77,999)"
Murwillumbah Surrounds,0,4,3,6,12,3,4,18,14,11,6,15,4,4,104,1392.548077,1392,"$1,250-$1,499 ($65,000-$77,999)"
Pottsville,0,0,0,5,0,6,17,23,15,22,12,16,0,3,119,1467.647059,1467,"$1,250-$1,499 ($65,000-$77,999)"
Tweed Heads,0,5,0,3,9,13,13,25,17,14,9,14,0,6,128,1349.804688,1349,"$1,250-$1,499 ($65,000-$77,999)"
Banora Point,0,5,3,0,0,8,8,10,19,14,12,14,5,0,98,1508.163265,1508,"$1,500-$1,749 ($78,000-$90,999)"
Terranora - North Tumbulgum,0,0,0,0,0,0,3,4,7,8,3,8,0,3,36,1745.138889,1745,"$1,500-$1,749 ($78,000-$90,999)"
Tweed Heads South,0,0,0,3,0,4,4,9,8,4,4,9,0,0,45,1385.555556,1385,"$1,250-$1,499 ($65,000-$77,999)"
Griffith (NSW),0,3,3,6,3,4,17,17,31,27,7,20,4,6,148,1479.560811,1479,"$1,250-$1,499 ($65,000-$77,999)"
Griffith Surrounds,0,0,0,0,0,0,6,10,9,5,0,5,0,5,40,1600.625,1600,"$1,500-$1,749 ($78,000-$90,999)"
Leeton,0,0,0,4,0,4,5,12,9,4,7,4,0,0,49,1358.673469,1358,"$1,250-$1,499 ($65,000-$77,999)"
Narrandera,0,0,3,0,0,0,0,0,6,4,3,3,0,0,19,1522.368421,1522,"$1,500-$1,749 ($78,000-$90,999)"
Tumbarumba,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,1875,1875,"$1,750-$1,999 ($91,000-$103,999)"
Tumut,0,0,0,0,3,4,4,6,5,4,3,0,0,0,29,1236.206897,1236,"$1,000-$1,249 ($52,000-$64,999)"
Tumut Surrounds,0,0,0,0,0,0,0,8,3,3,0,0,0,0,14,1285.714286,1285,"$1,250-$1,499 ($65,000-$77,999)"
Cootamundra,0,0,4,0,0,3,4,5,0,4,0,7,0,0,27,1200.925926,1200,"$1,000-$1,249 ($52,000-$64,999)"
Gundagai,0,0,0,0,0,0,4,7,0,0,0,0,0,0,11,1043.181818,1043,"$1,000-$1,249 ($52,000-$64,999)"
Junee,0,0,0,0,0,3,0,0,5,3,3,10,5,0,29,1945.689655,1945,"$1,750-$1,999 ($91,000-$103,999)"
Temora,0,0,4,0,0,0,10,4,5,8,5,6,0,3,45,1533.888889,1533,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - East,0,4,3,0,6,11,12,32,22,36,19,31,3,9,188,1573.404255,1573,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - North,0,0,0,0,4,4,3,5,7,12,3,12,0,0,50,1453,1453,"$1,250-$1,499 ($65,000-$77,999)"
Wagga Wagga - South,4,0,0,3,11,5,27,30,34,27,19,35,6,7,208,1525.961538,1525,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga - West,0,3,4,3,3,8,5,23,24,19,19,18,8,9,146,1670.890411,1670,"$1,500-$1,749 ($78,000-$90,999)"
Wagga Wagga Surrounds,0,0,0,0,0,4,16,12,21,27,11,14,0,11,116,1687.931034,1687,"$1,500-$1,749 ($78,000-$90,999)"
Berry - Kangaroo Valley,0,0,0,0,8,7,10,12,10,7,8,15,6,27,110,1994.772727,1994,"$1,750-$1,999 ($91,000-$103,999)"
Callala Bay - Currarong,0,0,3,0,3,0,0,3,0,8,4,3,0,5,29,1802.586207,1802,"$1,750-$1,999 ($91,000-$103,999)"
Culburra Beach,0,0,0,0,0,0,5,9,4,0,0,9,0,4,31,1645.16129,1645,"$1,500-$1,749 ($78,000-$90,999)"
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huskisson - Vincentia,0,0,0,5,0,5,7,7,4,6,8,12,0,9,63,1734.920635,1734,"$1,500-$1,749 ($78,000-$90,999)"
North Nowra - Bomaderry,3,0,0,3,8,19,7,16,21,16,19,19,0,4,135,1453.703704,1453,"$1,250-$1,499 ($65,000-$77,999)"
Nowra,0,4,3,0,0,9,16,28,27,29,20,15,0,3,154,1475.649351,1475,"$1,250-$1,499 ($65,000-$77,999)"
St Georges Basin - Erowal Bay,0,0,5,0,4,6,7,7,9,14,12,9,0,4,77,1539.935065,1539,"$1,500-$1,749 ($78,000-$90,999)"
Sussex Inlet - Berrara,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,2500,2500,"$2,000-$2,999 ($104,000-$155,999)"
Tomerong - Wandandian - Woollamia,0,0,0,0,0,0,4,4,3,4,6,3,0,0,24,1639.583333,1639,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla,0,0,5,0,0,5,15,15,20,15,10,14,0,5,104,1503.605769,1503,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla Surrounds,0,3,0,0,5,6,6,5,12,0,3,5,3,6,54,1537.962963,1537,"$1,500-$1,749 ($78,000-$90,999)"
Bowral,0,3,0,0,9,10,10,14,28,19,18,29,8,34,182,1931.868132,1931,"$1,750-$1,999 ($91,000-$103,999)"
Hill Top - Colo Vale,3,0,0,0,0,0,3,7,8,3,10,10,0,0,44,1600.568182,1600,"$1,500-$1,749 ($78,000-$90,999)"
Mittagong,0,0,0,3,0,0,4,12,6,7,10,16,4,13,75,2021,2021,"$2,000-$2,999 ($104,000-$155,999)"
Moss Vale - Berrima,0,3,0,0,0,6,12,14,7,13,4,19,9,6,93,1701.075269,1701,"$1,500-$1,749 ($78,000-$90,999)"
Robertson - Fitzroy Falls,0,0,3,3,0,5,0,0,3,6,5,10,0,13,48,2013.541667,2013,"$2,000-$2,999 ($104,000-$155,999)"
Southern Highlands,0,0,0,0,0,7,0,10,11,7,7,14,4,21,81,2136.728395,2136,"$2,000-$2,999 ($104,000-$155,999)"
