INCP Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Hay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth - Buronga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wentworth-Balranald Region,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1625,1625,"$1,500-$1,749 ($78,000-$90,999)"
Corowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corowa Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deniliquin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deniliquin Surrounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocumwal - Finley - Jerilderie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armidale,0,0,0,0,3,3,3,6,3,6,19,21,0,3,67,1859.701493,1859,"$1,750-$1,999 ($91,000-$103,999)"
Armidale Surrounds - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armidale Surrounds - South,0,0,0,0,0,0,0,0,0,0,5,5,0,0,10,2187.5,2187,"$2,000-$2,999 ($104,000-$155,999)"
Walcha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glen Innes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverell,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,1375,1375,"$1,250-$1,499 ($65,000-$77,999)"
Inverell Surrounds - East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inverell Surrounds - West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tenterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
