"INCP Design, Engineering, Science and Transport Total Personal Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Box Head - MacMasters Beach,0,0,0,0,13,3,11,14,21,17,21,41,5,14,160,1790.15625,1790,"$1,750-$1,999 ($91,000-$103,999)"
Calga - Kulnura,0,0,0,0,0,5,7,0,11,8,5,25,3,8,72,1877.430556,1877,"$1,750-$1,999 ($91,000-$103,999)"
Erina - Green Point,0,7,0,0,6,3,0,16,16,16,17,38,9,22,150,1954.666667,1954,"$1,750-$1,999 ($91,000-$103,999)"
Gosford - Springfield,4,0,0,3,6,13,12,41,33,47,34,69,17,16,295,1758.728814,1758,"$1,750-$1,999 ($91,000-$103,999)"
Kariong,0,0,0,0,0,4,6,6,10,6,0,19,10,0,61,1748.770492,1748,"$1,500-$1,749 ($78,000-$90,999)"
Kincumber - Picketts Valley,0,0,0,0,3,0,4,4,11,3,7,22,3,10,67,1989.925373,1989,"$1,750-$1,999 ($91,000-$103,999)"
Narara,0,0,0,0,0,5,4,4,10,12,15,20,4,3,77,1863.311688,1863,"$1,750-$1,999 ($91,000-$103,999)"
Niagara Park - Lisarow,0,0,3,3,0,0,6,4,11,7,7,34,6,3,84,1786.309524,1786,"$1,750-$1,999 ($91,000-$103,999)"
Point Clare - Koolewong,0,0,0,0,0,5,6,14,12,12,17,43,9,11,129,1950.775194,1950,"$1,750-$1,999 ($91,000-$103,999)"
Saratoga - Davistown,0,3,0,0,3,4,4,9,4,9,14,21,5,5,81,1818.209877,1818,"$1,750-$1,999 ($91,000-$103,999)"
Terrigal - North Avoca,4,0,0,0,0,4,10,11,20,19,23,43,8,27,169,2021.153846,2021,"$2,000-$2,999 ($104,000-$155,999)"
Umina - Booker Bay - Patonga,6,0,3,6,4,12,14,15,22,31,16,63,10,23,225,1761.888889,1761,"$1,750-$1,999 ($91,000-$103,999)"
Wamberal - Forresters Beach,0,4,0,0,4,3,7,10,11,12,13,34,15,16,129,2004.263566,2004,"$2,000-$2,999 ($104,000-$155,999)"
Woy Woy - Blackwall,0,0,3,0,5,3,4,17,14,18,11,33,3,8,119,1718.067227,1718,"$1,500-$1,749 ($78,000-$90,999)"
Wyoming,0,0,0,0,3,5,4,13,12,11,10,17,10,0,85,1733.235294,1733,"$1,500-$1,749 ($78,000-$90,999)"
Bateau Bay - Killarney Vale,0,3,0,3,6,5,11,17,27,17,14,41,9,3,156,1631.410256,1631,"$1,500-$1,749 ($78,000-$90,999)"
Blue Haven - San Remo,0,0,0,0,0,6,0,3,5,4,5,7,0,0,30,1557.5,1557,"$1,500-$1,749 ($78,000-$90,999)"
Budgewoi - Buff Point - Halekulani,0,0,4,0,3,4,3,5,8,7,8,10,0,6,58,1663.362069,1663,"$1,500-$1,749 ($78,000-$90,999)"
Chittaway Bay - Tumbi Umbi,4,0,0,0,0,7,6,6,12,12,20,45,6,4,122,1814.754098,1814,"$1,750-$1,999 ($91,000-$103,999)"
Gorokan - Kanwal - Charmhaven,0,3,6,3,0,3,7,11,11,12,10,6,5,0,77,1455.844156,1455,"$1,250-$1,499 ($65,000-$77,999)"
Jilliby - Yarramalong,0,0,0,0,0,0,6,6,5,0,5,12,4,5,43,1965.697674,1965,"$1,750-$1,999 ($91,000-$103,999)"
