INCP Health Professionals Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Culburra Beach,0,4,0,5,7,10,15,18,14,13,13,13,6,3,121,1449.793388,1449,"$1,250-$1,499 ($65,000-$77,999)"
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huskisson - Vincentia,0,0,0,0,3,5,11,17,17,18,19,16,5,17,128,1876.953125,1876,"$1,750-$1,999 ($91,000-$103,999)"
North Nowra - Bomaderry,0,3,3,6,15,21,28,50,69,74,57,68,10,35,439,1708.08656,1708,"$1,500-$1,749 ($78,000-$90,999)"
Nowra,0,7,0,6,8,23,49,54,74,52,61,77,9,15,435,1598.333333,1598,"$1,500-$1,749 ($78,000-$90,999)"
St Georges Basin - Erowal Bay,0,0,0,5,6,25,25,23,26,23,24,43,0,4,204,1470.343137,1470,"$1,250-$1,499 ($65,000-$77,999)"
Sussex Inlet - Berrara,0,0,4,0,7,9,3,11,7,9,5,0,3,0,58,1267.672414,1267,"$1,250-$1,499 ($65,000-$77,999)"
Tomerong - Wandandian - Woollamia,0,0,0,0,8,3,4,16,14,13,6,7,3,3,77,1521.103896,1521,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla,0,4,7,4,18,20,32,40,48,35,33,29,8,26,304,1580.756579,1580,"$1,500-$1,749 ($78,000-$90,999)"
Ulladulla Surrounds,0,0,7,6,5,10,11,8,5,4,12,8,4,5,85,1447.647059,1447,"$1,250-$1,499 ($65,000-$77,999)"
Bowral,0,4,6,0,12,22,26,34,45,42,30,55,19,61,356,1884.831461,1884,"$1,750-$1,999 ($91,000-$103,999)"
Hill Top - Colo Vale,0,0,0,0,8,10,11,16,15,13,6,9,0,4,92,1384.51087,1384,"$1,250-$1,499 ($65,000-$77,999)"
Mittagong,0,0,0,4,3,16,30,43,37,43,15,38,8,26,263,1661.596958,1661,"$1,500-$1,749 ($78,000-$90,999)"
Moss Vale - Berrima,0,0,4,3,11,8,13,29,22,30,15,28,8,21,192,1706.770833,1706,"$1,500-$1,749 ($78,000-$90,999)"
Robertson - Fitzroy Falls,0,0,0,0,0,3,7,10,9,10,7,16,0,8,70,1769.285714,1769,"$1,750-$1,999 ($91,000-$103,999)"
Southern Highlands,0,0,4,0,4,16,11,16,13,13,19,14,5,22,137,1818.978102,1818,"$1,750-$1,999 ($91,000-$103,999)"
