INCP Business Total Personal Income (weekly),"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500 or more ($182,000 or more)",Total,Average,Round Down,Return Val
Tamworth - North,0,4,4,5,6,15,31,38,26,33,18,38,11,22,251,1625.099602,1625,"$1,500-$1,749 ($78,000-$90,999)"
Tamworth - West,0,0,0,0,0,5,3,5,5,8,6,3,0,0,35,1498.571429,1498,"$1,250-$1,499 ($65,000-$77,999)"
Tamworth Surrounds,0,0,4,0,3,13,25,36,31,28,22,57,5,21,245,1695.102041,1695,"$1,500-$1,749 ($78,000-$90,999)"
Belmont - Bennetts Green,0,0,0,6,8,17,19,29,47,52,33,78,16,22,327,1762.155963,1762,"$1,750-$1,999 ($91,000-$103,999)"
Belmont South - Blacksmiths,0,0,0,4,0,9,4,6,15,12,4,15,7,9,85,1778.529412,1778,"$1,750-$1,999 ($91,000-$103,999)"
Charlestown - Dudley,0,3,5,5,13,22,27,58,83,91,78,154,27,51,617,1830.875203,1830,"$1,750-$1,999 ($91,000-$103,999)"
Glendale - Cardiff - Hillsborough,0,0,4,4,8,8,33,69,66,83,66,118,25,21,505,1757.524752,1757,"$1,750-$1,999 ($91,000-$103,999)"
Mount Hutton - Windale,0,0,0,0,3,5,7,20,20,18,17,36,4,3,133,1687.218045,1687,"$1,500-$1,749 ($78,000-$90,999)"
Redhead,0,0,0,0,0,0,0,8,12,16,8,23,8,14,89,2130.617978,2130,"$2,000-$2,999 ($104,000-$155,999)"
Swansea - Caves Beach,0,0,3,0,12,8,16,22,22,16,22,52,9,35,217,1905.069124,1905,"$1,750-$1,999 ($91,000-$103,999)"
Valentine - Eleebana,0,0,3,0,11,13,17,29,29,42,41,95,24,35,339,1929.129794,1929,"$1,750-$1,999 ($91,000-$103,999)"
Warners Bay - Boolaroo,0,0,0,0,13,12,18,37,33,50,38,82,28,30,341,1892.595308,1892,"$1,750-$1,999 ($91,000-$103,999)"
Bolton Point - Teralba,0,0,0,0,4,11,9,9,18,20,11,23,10,4,119,1704.831933,1704,"$1,500-$1,749 ($78,000-$90,999)"
Bonnells Bay - Silverwater,0,3,0,5,3,9,8,23,10,18,17,20,5,11,132,1681.818182,1681,"$1,500-$1,749 ($78,000-$90,999)"
Edgeworth - Cameron Park,3,0,0,0,6,14,10,31,40,44,34,60,10,0,252,1643.650794,1643,"$1,500-$1,749 ($78,000-$90,999)"
Morisset - Cooranbong,3,0,9,3,9,15,14,22,41,10,23,44,4,10,207,1539.855072,1539,"$1,500-$1,749 ($78,000-$90,999)"
Toronto - Awaba,0,0,3,3,4,5,13,32,31,33,36,49,13,14,236,1802.542373,1802,"$1,750-$1,999 ($91,000-$103,999)"
Wangi Wangi - Rathmines,0,3,0,4,5,4,16,11,16,14,25,24,6,13,141,1789.184397,1789,"$1,750-$1,999 ($91,000-$103,999)"
West Wallsend - Barnsley - Killingworth,0,0,0,0,0,0,3,13,11,17,15,11,4,0,74,1772.972973,1772,"$1,750-$1,999 ($91,000-$103,999)"
Adamstown - Kotara,0,0,3,4,3,17,28,32,69,64,53,164,26,44,507,1884.566075,1884,"$1,750-$1,999 ($91,000-$103,999)"
Beresfield - Hexham,0,0,0,0,6,4,4,15,10,12,6,11,0,3,71,1495.774648,1495,"$1,250-$1,499 ($65,000-$77,999)"
Hamilton - Broadmeadow,0,0,4,10,5,14,19,28,46,42,46,100,13,37,364,1849.656593,1849,"$1,750-$1,999 ($91,000-$103,999)"
Lambton - New Lambton,0,0,6,4,8,9,20,50,59,62,64,118,32,55,487,1948.459959,1948,"$1,750-$1,999 ($91,000-$103,999)"
Maryland - Fletcher - Minmi,0,3,0,4,6,11,21,41,33,41,45,76,15,12,308,1742.451299,1742,"$1,500-$1,749 ($78,000-$90,999)"
Mayfield - Warabrook,0,0,6,9,8,5,32,40,54,64,58,80,11,14,381,1695.997375,1695,"$1,500-$1,749 ($78,000-$90,999)"
Merewether - The Junction,0,0,12,6,8,21,37,44,51,70,45,129,40,89,552,1973.324275,1973,"$1,750-$1,999 ($91,000-$103,999)"
