RAID Rent Affordability Indicator,Households where rent payments are less than or equal to 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Households where rent payments are more than 30% of household income,,,,,,,,,,,,,,,,,,,,,,,,,,,Unable to be determined,,,,,,,,,,,,,,,,,,,,,,,,,,,Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,
RNTRD Rent (weekly) Ranges,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable
Reynella,3,3,17,6,11,5,18,9,28,25,78,76,63,44,31,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8,6,8,6,5,7,29,39,57,43,52,18,9,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,5,4,8,14,5,0,0,3,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3741,3,7,30,0,20,14,30,10,57,70,142,132,122,61,35,15,8,3,0,0,0,0,0,0,0,24,3741
Willunga,0,0,5,0,6,0,5,0,13,6,11,8,9,4,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,10,13,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,0,10,0,5,0,10,10,15,8,28,19,16,4,5,5,6,0,6,0,5,3,0,0,0,3,1321
Woodcroft,0,3,14,6,11,4,10,4,13,8,40,51,83,45,38,23,10,7,6,4,0,0,0,0,0,0,0,0,0,0,4,3,9,8,5,11,13,28,24,45,17,10,5,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,6,0,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3930,4,7,23,10,18,18,22,10,27,23,69,79,136,65,54,29,22,10,8,4,0,4,0,0,0,24,3930
Seaford - Seaford Meadows,3,9,28,10,8,14,28,13,41,33,122,102,187,127,96,30,17,9,4,4,12,0,0,0,0,0,0,0,0,9,5,8,16,19,11,25,45,96,78,126,32,38,8,12,4,3,0,0,4,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,9,12,27,17,10,0,6,0,0,0,3,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4344,0,11,34,13,19,28,47,23,67,88,234,188,338,170,141,40,33,8,12,4,12,4,0,0,0,33,4344
Seaford Rise - Moana,4,0,52,21,14,8,23,3,23,23,85,47,62,41,39,13,21,9,7,0,3,0,0,0,0,0,0,0,4,10,3,6,14,17,8,22,28,49,37,31,18,27,7,3,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,4,0,0,0,4,9,3,8,0,6,6,4,3,0,0,3,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,3554,4,3,63,31,28,20,43,22,47,57,147,93,97,67,72,24,27,12,6,0,7,9,0,0,0,30,3554
Beverley,4,10,40,11,26,20,17,27,45,34,68,50,70,54,79,31,41,22,14,4,3,0,0,0,0,0,0,0,4,16,8,6,24,16,14,39,26,44,19,34,19,32,10,15,4,9,3,3,0,0,6,0,0,0,0,0,3,0,3,3,4,0,9,3,0,3,4,4,4,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676,4,14,54,19,42,52,37,48,92,62,114,75,111,75,119,40,58,25,24,3,9,0,0,6,0,26,2676
Flinders Park,14,9,67,33,42,17,44,47,96,40,98,68,105,94,110,60,84,37,46,10,37,6,3,0,0,0,0,0,4,14,16,14,72,21,13,49,29,49,41,55,36,55,21,28,12,16,3,15,7,3,0,0,0,0,3,0,4,6,0,5,0,0,6,0,4,3,11,6,13,3,17,6,3,0,5,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5129,14,17,85,50,56,101,74,60,152,72,152,118,169,132,172,85,126,57,62,12,57,13,3,0,0,73,5129
Henley Beach,11,19,71,19,13,29,37,19,63,50,113,44,63,49,80,29,61,34,45,12,89,38,19,12,11,0,0,4,10,8,6,19,19,16,11,36,40,55,28,36,28,18,12,15,3,23,6,23,13,13,3,3,0,0,0,0,3,0,0,0,3,0,3,7,3,8,6,11,9,0,11,7,7,0,7,11,5,0,3,51,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5247,19,23,84,21,31,47,58,37,104,99,167,78,103,87,107,44,88,48,79,17,121,63,27,15,20,55,5247
Hindmarsh - Brompton,27,46,247,53,41,38,76,59,115,84,159,92,155,162,282,134,156,62,66,25,56,7,6,0,0,0,0,3,23,59,22,39,69,57,34,51,54,71,49,91,54,73,33,37,22,29,12,10,0,0,0,0,0,0,0,11,14,3,7,6,4,3,6,3,10,5,16,14,21,13,17,5,6,0,9,0,3,0,0,85,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,5,0,0,5,6,5618,30,77,332,79,85,110,139,98,168,146,241,145,268,233,383,183,207,92,100,36,82,11,6,3,10,95,5618
Royal Park - Hendon - Albert Park,3,14,44,20,20,9,24,17,27,25,43,29,52,40,54,17,21,5,9,0,3,0,0,0,0,0,0,0,6,6,6,18,26,14,12,22,25,31,25,30,13,12,11,3,0,4,0,4,0,0,0,0,0,0,0,4,4,0,0,3,0,0,3,0,0,5,7,6,0,5,0,0,6,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2107,10,17,59,31,39,38,38,30,54,47,75,60,93,60,73,30,29,6,16,0,7,0,7,0,0,25,2107
Seaton - Grange,15,21,127,31,48,32,76,49,87,68,128,53,104,77,116,84,86,29,37,9,38,20,10,0,3,0,0,0,9,28,25,31,41,46,40,44,40,67,42,70,40,62,22,26,17,14,0,16,4,0,4,0,0,0,0,4,11,4,5,4,5,4,5,0,14,5,7,7,9,0,11,0,7,0,8,4,0,0,0,84,0,0,3,0,0,0,0,7,0,0,0,0,0,5,0,4,0,3,0,0,0,0,0,0,0,0,8,5745,16,40,169,62,84,74,133,92,135,111,205,98,186,122,187,113,127,46,54,9,60,28,6,3,4,85,5745
West Lakes,14,22,117,29,44,12,29,15,43,30,89,49,66,39,64,26,44,19,23,6,34,26,14,4,8,0,0,8,8,14,12,14,17,16,12,27,22,68,19,41,22,16,9,18,15,10,0,15,9,4,5,0,0,0,4,0,13,4,4,0,0,3,0,7,3,4,3,6,8,0,6,6,0,0,6,7,0,0,0,44,0,0,0,0,5,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,4,0,5811,18,35,144,44,62,34,60,30,70,59,160,75,113,69,92,41,61,35,33,9,64,43,19,5,15,43,5811
Woodville - Cheltenham,14,26,98,36,44,53,54,81,141,115,193,133,196,115,132,69,58,16,15,5,13,4,0,0,0,0,0,0,15,29,22,32,92,39,45,66,65,86,63,89,51,43,12,21,3,11,4,9,4,0,0,4,0,0,0,0,8,5,3,10,5,10,8,3,12,13,22,9,18,6,3,0,5,0,5,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5497,13,43,135,60,83,158,100,137,217,188,292,206,306,173,190,83,77,26,33,3,30,11,0,3,8,102,5497
Dry Creek - South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,11,20,113,18,35,18,35,31,61,69,139,89,103,84,91,41,57,28,23,9,31,8,0,0,0,0,0,0,7,16,12,16,23,19,25,67,65,108,32,55,31,32,16,24,13,7,5,14,9,0,3,9,0,0,0,5,6,3,0,5,0,4,5,7,10,5,4,12,7,4,3,0,0,0,3,0,0,0,0,43,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,12,5308,15,30,136,26,52,39,49,59,136,136,257,129,164,123,132,63,87,44,34,17,49,16,6,5,12,50,5308
North Haven,25,20,142,27,37,25,45,23,102,35,90,63,86,65,74,44,38,4,15,3,14,3,0,0,0,0,0,0,16,21,23,13,40,29,18,39,35,61,44,61,31,33,17,15,4,7,0,5,3,0,0,0,0,0,0,0,15,4,0,9,0,5,11,6,10,9,11,3,12,6,5,0,4,0,0,0,0,0,0,61,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,5112,24,35,178,54,54,75,71,45,150,78,156,112,157,100,114,73,60,15,26,6,23,6,0,0,0,67,5112
Port Adelaide,8,23,160,21,42,31,54,51,100,57,108,61,78,47,56,10,26,10,13,3,12,0,0,0,0,0,0,4,13,26,9,21,32,47,41,62,52,73,36,46,16,20,10,11,6,4,3,9,3,0,0,0,0,0,3,7,15,0,3,0,6,10,7,5,11,5,0,6,10,4,3,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,7,3815,16,42,204,37,60,66,110,100,174,115,191,102,133,71,86,25,41,19,17,3,19,3,0,0,0,73,3815
The Parks,27,50,302,63,95,63,109,83,158,94,186,99,156,110,124,40,40,14,8,0,10,0,0,0,0,0,0,9,34,60,40,57,96,60,56,71,55,111,63,79,47,42,19,20,8,10,0,7,0,0,0,3,0,0,0,0,16,11,11,3,11,11,6,11,15,7,22,15,6,3,6,4,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4701,37,82,375,115,166,163,179,153,236,158,312,169,257,175,171,62,74,22,21,3,17,3,5,0,3,145,4701
Torrens Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Adelaide Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulham,0,4,15,4,5,0,4,10,14,10,18,5,5,7,9,3,7,0,5,0,4,5,4,0,0,0,0,0,4,3,4,0,0,4,11,7,5,5,3,4,7,5,3,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1014,0,8,21,3,0,0,7,22,19,20,19,4,12,17,17,12,17,9,10,4,6,5,3,0,0,6,1014
Lockleys,3,13,66,17,31,22,56,57,129,122,126,61,76,63,56,28,46,24,33,0,39,15,4,0,0,0,0,0,6,14,4,4,32,27,31,46,40,67,29,35,27,19,12,26,4,3,7,14,3,3,0,5,0,0,0,0,0,0,3,0,3,8,7,0,6,0,9,0,8,0,5,0,4,0,4,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4330,8,22,83,24,43,58,80,91,193,166,199,92,125,91,89,42,78,30,35,10,55,16,10,4,3,63,4330
Plympton,28,28,187,64,87,61,116,144,326,290,292,148,213,131,168,83,134,73,68,33,86,10,5,0,0,0,0,3,21,24,21,24,66,50,60,89,100,116,66,98,48,77,23,45,24,31,18,42,5,6,0,0,0,0,0,0,10,3,11,7,6,8,17,7,15,13,22,9,20,9,10,3,14,10,9,5,0,0,5,107,0,0,0,4,0,3,0,5,0,5,3,0,6,0,0,0,0,0,0,0,0,3,4,0,0,0,4,7920,33,48,225,90,126,131,167,207,438,404,428,225,334,193,267,117,197,106,113,65,140,28,7,3,3,115,7920
Richmond (SA),27,33,140,42,64,40,78,57,150,108,183,101,123,135,160,70,112,78,63,15,60,6,4,0,4,0,0,3,15,27,23,21,61,48,43,65,63,78,40,79,58,69,22,33,23,24,7,19,9,3,0,8,0,0,0,0,10,3,4,8,7,4,5,8,16,8,10,14,22,12,12,9,10,3,3,0,0,4,0,92,0,0,0,5,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4902,31,43,181,66,93,104,138,105,214,173,278,148,218,210,255,106,157,107,98,28,83,17,7,3,14,100,4902
West Beach,4,0,15,0,8,4,14,22,52,30,41,21,29,16,38,11,11,3,6,3,20,16,5,3,3,0,0,0,0,0,0,5,0,8,8,30,14,15,8,11,7,5,3,0,0,4,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1829,5,0,9,0,15,8,24,32,80,43,61,30,40,23,41,13,13,9,16,6,27,22,5,7,14,17,1829
Barossa - Angaston,3,8,19,14,5,0,32,24,29,17,17,18,24,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,4,7,13,11,23,15,16,10,7,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2541,6,3,28,19,15,7,43,37,48,29,34,25,35,14,3,0,5,0,4,0,0,0,0,0,0,12,2541
Light,5,4,20,16,13,17,27,17,34,25,31,25,15,14,14,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,14,17,18,20,15,11,3,9,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,5,3,0,0,4,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3476,12,8,27,16,17,32,50,40,61,41,47,21,31,22,20,3,13,3,0,0,0,0,0,0,0,21,3476
Lyndoch,0,0,3,0,5,3,15,4,14,14,24,12,16,10,9,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,13,9,9,23,4,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309,0,0,6,0,8,8,24,21,22,21,54,20,28,14,10,4,0,0,4,0,4,0,0,0,0,11,2309
Mallala,4,0,6,0,9,3,17,5,13,6,10,3,0,11,4,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,5,3,10,0,5,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1433,3,4,6,5,16,8,20,3,24,12,28,3,4,10,8,0,4,0,4,0,0,3,0,0,0,14,1433
Nuriootpa,6,11,19,8,22,11,21,16,38,33,57,42,36,23,15,16,4,0,0,4,0,0,0,0,0,0,0,0,5,0,7,4,28,13,21,22,27,26,16,23,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,4,7,4,3,4,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2621,9,16,26,10,24,43,41,35,57,65,90,70,66,40,21,23,4,4,3,4,0,0,0,0,3,20,2621
Tanunda,0,0,5,4,10,3,12,23,23,19,42,31,23,23,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,12,13,18,14,12,12,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1800,0,0,9,4,16,12,23,38,44,33,56,47,39,28,20,9,0,4,0,0,0,0,5,0,0,16,1800
Clare,5,3,38,9,17,4,38,30,42,26,42,17,16,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,14,9,5,8,18,11,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,1626,8,6,43,10,22,12,53,43,45,42,59,27,20,9,5,0,4,0,0,0,0,0,4,0,8,23,1626
Gilbert Valley,8,0,15,8,15,17,29,18,28,20,22,6,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,23,10,11,3,4,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,2223,8,0,16,11,26,36,57,32,42,24,27,6,11,7,4,0,0,0,0,0,0,3,0,0,6,34,2223
Goyder,7,6,28,9,22,11,31,16,19,8,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,13,14,7,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2054,14,8,34,21,40,38,50,22,36,13,15,4,9,0,0,0,0,0,3,0,0,0,0,0,3,29,2054
Wakefield - Barunga West,18,12,54,30,33,32,73,55,63,28,19,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,32,25,39,34,29,12,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,13,5,8,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4526,19,11,66,31,71,58,127,106,111,46,41,9,11,3,3,0,0,0,5,3,0,0,3,0,0,88,4526
Jamestown,13,8,33,12,34,18,42,20,23,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,7,20,11,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2108,10,10,43,18,44,32,67,30,32,16,7,5,0,0,0,0,0,0,0,0,0,0,5,0,0,21,2108
Peterborough - Mount Remarkable,14,4,32,26,49,31,30,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,13,12,5,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,4,3,0,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,3,0,5,0,0,15,3078,17,9,38,36,88,40,50,15,13,3,4,0,0,0,0,0,0,0,0,0,7,3,0,0,0,43,3078
Port Pirie,27,26,218,48,187,162,176,91,120,44,49,27,11,7,12,0,3,3,0,0,0,0,0,0,0,0,0,5,17,49,29,99,95,68,43,48,17,12,11,7,0,3,0,3,0,5,0,0,4,0,0,0,0,0,0,0,21,10,18,20,18,14,19,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,3,5,7,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,4972,31,53,284,100,311,285,264,147,187,71,65,35,21,7,16,0,8,3,0,0,5,5,0,0,0,91,4972
Port Pirie Surrounds,0,5,16,7,18,10,20,4,9,5,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,8,19,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1403,0,4,15,13,34,24,38,7,13,8,9,3,5,0,3,0,0,0,0,0,0,0,0,0,0,9,1403
Kadina,8,3,41,12,24,13,37,25,57,31,37,14,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,9,22,17,30,21,20,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,11,3,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,8,6,47,16,38,23,56,51,94,58,63,19,8,3,4,0,3,0,0,0,0,0,0,0,0,16,2025
Moonta,3,7,23,12,18,13,14,20,52,17,28,21,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,16,20,20,23,30,17,14,4,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,9,3182,10,5,23,14,37,31,34,40,85,28,42,28,18,3,4,0,0,0,4,0,3,0,4,0,0,29,3182
Wallaroo,0,3,33,7,31,15,37,20,38,27,35,15,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,17,18,29,27,48,19,25,4,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,3,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,5,5,0,8,10,2478,6,10,38,11,52,33,67,49,93,45,66,32,23,5,3,0,4,0,0,0,4,5,6,0,13,35,2478
Yorke Peninsula - North,16,22,47,21,27,26,39,27,47,14,20,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13,0,6,27,20,23,38,12,8,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,8,4,0,7,3,4,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,4,0,0,3,0,3,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,21,5387,17,25,68,30,40,55,70,50,88,29,25,11,5,4,3,0,0,0,4,0,4,5,0,0,9,84,5387
Yorke Peninsula - South,11,6,26,7,28,14,29,11,27,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,22,15,11,4,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,19,3986,10,6,33,14,36,27,56,24,48,11,12,4,3,0,0,0,0,0,0,0,0,0,4,0,5,31,3986
Ceduna,10,9,28,15,23,16,32,13,31,21,30,4,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,6,9,11,6,18,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,3,5,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,30,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,14,962,15,16,31,26,36,32,42,25,55,28,42,3,16,3,7,0,0,0,0,0,7,0,0,0,0,39,962
Eyre Peninsula,9,7,33,16,40,28,30,13,29,16,28,12,6,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,18,28,16,21,5,10,9,3,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,7,3,4,3,9,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,4,0,3,0,4,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,8,0,9,22,3544,6,17,43,21,63,48,65,34,63,23,45,14,12,6,12,0,0,0,3,0,0,0,8,0,13,51,3544
